I,name;date;SsC zout;SsC zoet ;SsC zuur;SsC msg;commentaar na glas;finaale comentaar (met verwijzingen naar i);pH;osmo;%NA;M Na;�;# tag's ;T1;T2;T3;Tn;ScT1;..;ScTn;#da;i (mee te vergelijken);> = < ;zF
pc,pc;pc;web;web;web;web;pc;web;pc;pc;pc;pc;pc;pc;pc;pc;pc;pc;pc;pc;pc;web;web;web;web
;;;;;;;;;;;;;;=aantal tag's *2;;;;;;;;;;;
