"0,5L baccorde",bar code code,in program ,aantal anion,,aantal kation,,mol/L,dilutie,aanwezig,
,6153906065070,2K 1HPO4 B,2,k,1,PO4,0.00319729802987708,15,,
,6153906090058,2K 1HPO4 T,2,k,1,PO4,0.000532883004979513,25,,
,6153906096081,2K 1HPO4 F,2,k,1,PO4,0.000255783842390166,50,,
,A70000222571,1 Na 1 Cl,,na,,cl,,10,x,
6153907651623,6153907428409,1 Na 1 Cl B,,na,,cl,0.0666600073252755,15,x,x
,6153907443419,1 Na 1 Cl T,,na,,cl,,25,x,
,6153907463486,1 Na 1 Cl F,,na,,cl,,50,x,
,A70000284425,1 Na 1 GLU,,na,,MSG,1.00053219797765,10,x,
6153907310360,6153907097094,1 Na 1 GLU,,na,,MSG,0.667021465318432,15,x,
,6153907092044,1 Na 1 GLU,,na,,MSG,0.400212879191059,25,x,
,6153907074057,1 Na 1 GLU,,na,,MSG,0.20010643959553,50,x,
