bar code code;in program ;aantal anion;;aantal kation;;mol/L;dilutie
6153906799777;2K 1SO4 F;2;k;1;SO4;0;50
A70000222564;1Na 1NO3;1;na;1;NO3;0;10
6153906997906;1Na 1NO3 B;1;na;1;NO3;0;15
6153906982919;1Na 1NO3 T;1;na;1;NO3;0;25
6153906966971;1Na 1NO3 F;1;na;1;NO3;0;50
A70000284429;1Na 1H2PO4;1;na;1;PO4;0;10
6153907252226;1Na 1H2PO4 B;1;na;1;PO4;0;15
6153907212237;1Na 1H2PO4 T;1;na;1;PO4;0;25
6153907237216;1Na 1H2PO4 F;1;na;1;PO4;0;50
A70000222567;2Na 1SO4;2;na;1;SO4;0;10
6153906277237;2Na 1SO4 B;2;na;1;SO4;0;15
6153906183187;2Na 1SO4 T;2;na;1;SO4;0;25
6153906169167;2Na 1SO4 F;2;na;1;SO4;0;50
A70000363967;1Ca 2NO3;1;ca;2;NO3;0;10
6153907253278;1Ca 2NO3 B;1;ca;2;NO3;0;15
6153907273283;1Ca 2NO3 T;1;ca;2;NO3;0;25
6153907262225;1Ca 2NO3 F;1;ca;2;NO3;0;50
123793100;1Ca 1HPO4;1;ca;1;PO4;0;10
123793101;1Ca 1HPO4 B;1;ca;1;PO4;0;15
123793102;1Ca 1HPO4 T;1;ca;1;PO4;0;25
123793103;1Ca 1HPO4 F;1;ca;1;PO4;0;50
741842100;1Sr 2NO3;1;sr;2;NO3;0;10
741842101;1Sr 2NO3 B;1;sr;2;NO3;0;15
741842102;1Sr 2NO3 T;1;sr;2;NO3;0;25
741842103;1Sr 2NO3 F;1;sr;2;NO3;0;50
456793100;1Fe 1PO4;1;Fe;1;PO4;0;10
456793101;1Fe 1PO4 B;1;Fe;1;PO4;0;15
456793102;1Fe 1PO4 T;1;Fe;1;PO4;0;25
456793103;1Fe 1PO4 F;1;Fe;1;PO4;0;50
A70000259762;3Na 1PO4;3;na;1;PO4;0;10
753793101;3Na 1PO4 B;3;na;1;PO4;0;15
753793102;3Na 1PO4 T;3;na;1;PO4;0;25
753793103;3Na 1PO4 F;3;na;1;PO4;0;50
A70000371363;2Na 1HPO4;2;na;1;PO4;0;10
6153907022089;2Na 1HPO4 B;2;na;1;PO4;0;15
6153907016064;2Na 1HPO4 T;2;na;1;PO4;0;25
6153907013094;2Na 1HPO4 F;2;na;1;PO4;0;50
A70000363975;2K 1HPO4;2;k;1;PO4;0;10
6153906065070;2K 1HPO4 B;2;k;1;PO4;0;15
6153906090058;2K 1HPO4 T;2;k;1;PO4;0;25
6153906096081;2K 1HPO4 F;2;k;1;PO4;0;50
A70000222571;1 Na 1 Cl;1;na;1;cl;1;10
6153907428409;1 Na 1 Cl B;1;na;1;cl;1;15
6153907443419;1 Na 1 Cl T;1;na;1;cl;0;25
6153907463486;1 Na 1 Cl F;1;na;1;cl;0;50
A70000284425;1 Na 1 GLU;1;na;1;MSG;1;10
6153907097094;1 Na 1 GLU;1;na;1;MSG;1;15
6153907092044;1 Na 1 GLU;1;na;1;MSG;0;25
6153907074057;1 Na 1 GLU;1;na;1;MSG;0;50
A70000457450;1 Ca 2 Cl;1;ca;2;cl;1;10
6153907847842;1 Ca 2 Cl;1;ca;2;cl;1;15
6153907799769;1 Ca 2 Cl;1;ca;2;cl;0;25
6153907781788;1 Ca 2 Cl;1;ca;2;cl;0;50
