Ion;mol massa;rood;groen;blauw;"max in glas "
Ca;40,078;167;249;161;250
Mg;24,305;29;221;66;625
K;39,098;74;228;244;312,5
Na;22,99;198;22;216;187,5
Fe;55,845;244;66;236;2,5
Sr;87,62;181;161;181;0,5
Zn;65,38;66;119;168;4,375
F;18,998;27;207;87;0,525
CO3;60,009;78;156;108;125
HCO3;61,017;226;138;8;125
NO3;62,005;206;32;28;20
SO4;96,06;226;236;94;106,25
Cl;35,453;225;0;255;212,5
PO4;96,987;0;255;255;87,5
SiO3;76,084;0;100;255;100
